Companies,SectorCategory,HQ_Country,Countries_Filled,Backdate,Responded,German,Regions,Response.Sectors,Responded.To,Tags
Norilsk Nickel,Extractive,RU,FI|RU,2015-06-19,Yes,0,NA,NA,NA,"Clean, Healthy & Sustainable Environment|Personal Health"
Meta (formerly Facebook),Information technology,US,BR,2018-09-04,Yes,0,NA,Technology: Internet & social media,NA,Company Policies|Cultural Rights|Freedom of Expression|Indigenous Peoples|Lawsuits & regulatory action
Walmart,Retail and consumer products,US,US,2018-09-03,Yes,0,NA,Consumer products/retail: General,USA: Senator Bernie Sanders calls on Amazon & Walmart to pay a living wage; includes company comments,Living Wage
Apotex|Janssen Pharmaceutica (part of Johnson & Johnson)|Loblaw Companies|Mylan Laboratories|Purdue Pharma|Ranbaxy Laboratories|Teva Pharmaceutical,Other,BE,CA,2018-09-04,Yes,0,NA,Health and social care|Pharmaceutical|Pharmacies,NA,Consumers|Deaths|Governments|Illness|Lawsuits & regulatory action|Personal Health
Avery Dennison,Heavy manufacturing,US,IN,2018-09-04,Yes,0,NA,NA,India: Major brands respond to allegations supplier Avery Dennison is undermining trade union rights & failing to pay contract workers full entitlements,Freedom of Association|Intimidation|Labour Rights
Hennes & Mauritz (H&M),Retail and consumer products,SE,IN,2018-08-27,Yes,0,NA,NA,India: Major brands respond to allegations supplier Avery Dennison is undermining trade union rights & failing to pay contract workers full entitlements,Freedom of Association|Intimidation|Labour Rights|Supply Chains
Gap,Retail and consumer products,US,IN,2018-08-24,Yes,0,NA,NA,India: Major brands respond to allegations supplier Avery Dennison is undermining trade union rights & failing to pay contract workers full entitlements,Freedom of Association|Intimidation|Labour Rights|Supply Chains
Levi Strauss,Retail and consumer products,US,IN,2018-09-03,Yes,0,NA,NA,India: Major brands respond to allegations supplier Avery Dennison is undermining trade union rights & failing to pay contract workers full entitlements,Freedom of Association|Intimidation|Labour Rights
Groupe Rocher,Retail and consumer products,FR,FR|TR,2018-09-10,Yes,0,NA,Cosmetics,"Turkey: Workers' rights group accuses French cosmetics brand of labour abuse, Groupe Rocher responds",Freedom of Association|Labour Rights
Benetton Group|Compañía de Tierras del Sud Argentino (part of Benetton),Retail and consumer products,AR,AR,2018-09-11,Yes,0,NA,Agriculture & livestock,NA,Disappearances|Human Rights Defenders|Indigenous Peoples|Killings|Lawsuits & regulatory action|Right to Privacy|Security Issues & Conflict Zones
Coca-Cola|LEGO Group|McDonald's|Starbucks|Unilever,Food and beverage,DK,DK,2018-09-11,Yes,0,NA,"Agriculture/food/beverage/tobacco/fishing: General|Oil, gas & coal|Plastics|Toy",NA,"Clean, Healthy & Sustainable Environment|Company Policies"
Minera Autlán (part of Grupo Ferrominero),Extractive,MX,MX,2018-08-27,Yes,0,NA,Mining,México: Desaparecen a Sergio Rivera defensor medioambiental que se ha opuesto a proyecto hidroeléctrico de Minera Autlán,Disappearances
Minera Autlán (part of Grupo Ferrominero),Extractive,MX,MX,2018-08-27,Yes,0,NA,Hydropower & dam projects|Mining,Mexico: Sergio Rivera indigenous & environmental defender who opposes Minera Autlán’s hydroelectric project was disappeared,Disappearances|Human Rights Defenders
Organización Ardila Lülle|Postobón (part of Organización Ardila Lülle),Other,CO,CO,2018-09-11,Yes,0,NA,Food & beverage,NA,Consumers|Lawsuits & regulatory action
Chopard|De Beers (part of Anglo American),Extractive,CH,FR,2018-09-14,Yes,0,NA,Diamond|Jewellery|Mining,NA,"Child labour|Clean, Healthy & Sustainable Environment|Company Advances on Human Rights|Human Trafficking|Labour Rights|Personal Health"
Mitsubishi UFJ Financial Group,Financial services,JP,JP|LA,2018-09-15,No,0,NA,Hydropower & dam projects|Safety/environment: General,Laos: Groups demand accountability from companies as well as insurers for collapse of Xe Pian-Xe Namnoy dam,Deaths
Acacia (formerly African Barrick Gold),Extractive,GB,TZ,2018-09-18,Yes,0,NA,Mining,Tanzania: MiningWatch Canada on alleged shortcomings of Barrick Gold's subsidiary's new operational-level grievance mechanism; company responds,Violence
Alaska Permanent Fund,Financial services,US,PH,2018-09-17,No,0,NA,"Oil, gas & coal",Philippines: Report alleges 'opaque investments' in coal projects that are causing environmental & social harms; some investors respond,Climate Crisis
AMF,Financial services,SE,PH,2018-09-17,Yes,0,NA,"Oil, gas & coal",Philippines: Report alleges 'opaque investments' in coal projects that are causing environmental & social harms; some investors respond,Climate Crisis
APG,Financial services,NL,PH,2018-09-17,Yes,0,NA,"Oil, gas & coal",Philippines: Report alleges 'opaque investments' in coal projects that are causing environmental & social harms; some investors respond,Climate Crisis
BlackRock,Financial services,US,PH,2018-09-17,No,0,NA,"Oil, gas & coal",Philippines: Report alleges 'opaque investments' in coal projects that are causing environmental & social harms; some investors respond,Climate Crisis
British Columbia Investment Management,Financial services,CA,PH,2018-09-17,No,0,NA,"Oil, gas & coal",Philippines: Report alleges 'opaque investments' in coal projects that are causing environmental & social harms; some investors respond,Climate Crisis
Caisse des Dépôts,Financial services,FR,PH,2018-09-17,No,0,NA,"Oil, gas & coal",Philippines: Report alleges 'opaque investments' in coal projects that are causing environmental & social harms; some investors respond,Climate Crisis
Canada Pension Plan Investment Board,Financial services,CA,PH,2018-09-17,Yes,0,NA,"Oil, gas & coal",Philippines: Report alleges 'opaque investments' in coal projects that are causing environmental & social harms; some investors respond,Climate Crisis
Cathay United Bank,Financial services,TW,PH,2018-09-17,Yes,0,NA,"Oil, gas & coal",Philippines: Report alleges 'opaque investments' in coal projects that are causing environmental & social harms; some investors respond,Climate Crisis
Forsta AP-Fonden,Financial services,SE,PH,2018-09-17,No,0,NA,"Oil, gas & coal",Philippines: Report alleges 'opaque investments' in coal projects that are causing environmental & social harms; some investors respond,Climate Crisis
Pensions Myndigheten -Sweden,Financial services,SE,PH,2018-09-17,No,0,NA,"Oil, gas & coal",Philippines: Report alleges 'opaque investments' in coal projects that are causing environmental & social harms; some investors respond,Climate Crisis
Government Pension Investment Fund of Japan,Financial services,JP,PH,2018-09-17,No,0,NA,"Oil, gas & coal",Philippines: Report alleges 'opaque investments' in coal projects that are causing environmental & social harms; some investors respond,Climate Crisis
Norges Bank Investment Management (NBIM),Financial services,NO,PH,2018-09-17,Yes,0,NA,"Oil, gas & coal",Philippines: Report alleges 'opaque investments' in coal projects that are causing environmental & social harms; some investors respond,Climate Crisis
Nuveen,Financial services,US,PH,2018-09-17,No,0,NA,"Oil, gas & coal",Philippines: Report alleges 'opaque investments' in coal projects that are causing environmental & social harms; some investors respond,Climate Crisis
Oregon Public Employees Retirement System,Financial services,US,PH,2018-09-17,No,0,NA,"Oil, gas & coal",Philippines: Report alleges 'opaque investments' in coal projects that are causing environmental & social harms; some investors respond,Climate Crisis
PGGM,Financial services,NL,PH,2018-09-17,Yes,0,NA,"Oil, gas & coal",Philippines: Report alleges 'opaque investments' in coal projects that are causing environmental & social harms; some investors respond,Climate Crisis
CALPERS,Financial services,US,PH,2018-09-17,No,0,NA,"Oil, gas & coal",Philippines: Report alleges 'opaque investments' in coal projects that are causing environmental & social harms; some investors respond,Climate Crisis
State of Wisconsin Investment Board,Financial services,US,PH,2018-09-17,No,0,NA,"Oil, gas & coal",Philippines: Report alleges 'opaque investments' in coal projects that are causing environmental & social harms; some investors respond,Climate Crisis
Texas Permanent School Fund,Financial services,US,PH,2018-09-17,No,0,NA,"Oil, gas & coal",Philippines: Report alleges 'opaque investments' in coal projects that are causing environmental & social harms; some investors respond,Climate Crisis
Vanguard,Financial services,US,PH,2018-09-17,No,0,NA,"Oil, gas & coal",Philippines: Report alleges 'opaque investments' in coal projects that are causing environmental & social harms; some investors respond,Climate Crisis
Lydian International,Extractive,GB,AM,2018-09-18,Yes,0,NA,Metals & steel|Mining,NA,"Clean, Healthy & Sustainable Environment|Governments|Personal Health|Protests"
JCB,Heavy manufacturing,GB,IL,2018-09-18,No,0,NA,Construction machinery & vehicles|Machine & machine tools,British excavation giant JCB to be investigated over potential violations of international law in the occupied Palestinian territories,Humanitarian Law|OECD Guidelines|Security Issues & Conflict Zones|UN Guiding Principles on Business & Human Rights (UNGPs)
Alphabet|Google (part of Alphabet),Other,US,CN,2018-09-18,No,0,NA,NA,China: Human rights groups & employees call on Google not to launch censored search engine saying it would violate rights to expression & privacy,Freedom of Expression|Right to Privacy
Continental Gold (part of Zijin Mining),Extractive,CN,CO,2018-09-24,Yes,0,NA,Mining,NA,Intimidation|Killings|Labour Rights|Security Issues & Conflict Zones
RINA,Financial services,IT,PK,2018-09-12,Yes,0,NA,NA,NGO coalition files OECD complaint with Italian NCP against auditor RINA for allegedly failing to detect safety & labour abuses at Ali Enterprises factory in Pakistan; incl. co response,Personal Health
Bear Creek Mining,Extractive,CA,PE,2018-09-22,Yes,0,NA,Mining,"Peru: Anti-mining Governor, criminalised for opposition to Bear Creek mine, claims to be victim of political vendetta",Indigenous Peoples|Unfair trial
Bear Creek Mining,Extractive,CA,PE,2018-09-22,Yes,0,NA,Mining,Perú: Organizaciones internacionales piden a la justicia anular la sentencia contra líder indígena opositor a minera Bear Creek; la empresa ganó arbitraje contra el gobierno,Indigenous Peoples|Unfair trial
Chevron|Eni|Karachaganak Petroleum Operating (KPO)|KazMunaiGas|Lukoil|Shell plc,Extractive,GB,KZ,2018-09-25,Yes,0,NA,"Oil, gas & coal","Kazakhstan: NGO says poisoning of children likely caused by toxic emissions from Karachaganak oil & gas field, operated by KPO consortium; includes company comments","Children|Clean, Healthy & Sustainable Environment|Personal Health"
Karachaganak Petroleum Operating (KPO),Extractive,KZ,KZ,2018-09-28,Yes,0,NA,"Oil, gas & coal","Kazakhstan: NGO says poisoning of children likely caused by toxic emissions from Karachaganak oil & gas field, operated by KPO consortium; includes company comments","Children|Clean, Healthy & Sustainable Environment|Governments|Lawsuits & regulatory action|Personal Health"
LafargeHolcim,Heavy manufacturing,CH,UG,2018-09-27,Yes,0,NA,Cement,Une étude accuse 5 entreprises suisses d'être régulièrement impliquées dans des violations des droits de l'homme au niveau mondial; avec les réponses des entreprises,Child labour|Personal Health
Nestlé,Food and beverage,CH,CI|CO|ID|TH,2018-09-28,Yes,0,NA,Food & beverage,Une étude accuse 5 entreprises suisses d'être régulièrement impliquées dans des violations des droits de l'homme au niveau mondial; avec les réponses des entreprises,Child labour|Forced Labour & Modern Slavery
Amazon.com,Other,US,AU,2018-09-29,Yes,0,NA,Consumer products/retail: General|Technology: Internet & social media,Australia: Amazon staff in Melbourne warehouse claim unsustainable work targets; harsh working conditions,Labour Rights
Coca-Cola|Danone|Nestlé|Unilever,Food and beverage,CH,BR,2018-10-02,Yes,0,NA,Food & beverage,NA,Access to Information|Complicity|Intimidation|Personal Health
Credit Suisse,Financial services,CH,US,2018-10-01,Yes,0,NA,Finance & banking|Palm trees & oil,Une étude accuse 5 entreprises suisses d'être régulièrement impliquées dans des violations des droits de l'homme au niveau mondial; avec les réponses des entreprises,"Clean, Healthy & Sustainable Environment"
Syngenta,Pharmaceutical and chemical,CH,IN,2018-10-01,Yes,0,NA,Chemical: General,Une étude accuse 5 entreprises suisses d'être régulièrement impliquées dans des violations des droits de l'homme au niveau mondial; avec les réponses des entreprises,Personal Health
Hennes & Mauritz (H&M),Retail and consumer products,SE,BG|IN|KH|TR,2018-10-01,Yes,0,NA,NA,New research findings accuse H&M of failing to ensure living wages for its supply chain workers; incl. co response,Living Wage
Glencore,Extractive,CH,CD,2018-10-02,Yes,0,NA,Mining,"DRC: Glencore copper-cobalt mine allegedly linked to pollution, child labour and tax evasion; including past company responses",Access to Water|Personal Health
Barrick Gold,Extractive,CA,PG,2018-10-02,Yes,0,NA,Mining,Range of human rights abuses by extractive companies allegedly tied to European financial institutions: companies respond to Facing Finance report,"Clean, Healthy & Sustainable Environment|Rape & sexual abuse"
Ecopetrol,Extractive,CO,CO,2018-10-02,No,0,NA,"Oil, gas & coal","Colombia: Quedan en libertad dirigentes sociales del Meta, supuestamente relacionados con protestas contra Ecopetrol","Protection from arbitrary arrest, detention or exile|Violence"
Mars|Nestlé|Tesco,Food and beverage,CH,MM|TH,2018-10-05,Yes,0,NA,Chocolate & cocoa|Fishing|Food & beverage|Supermarkets & grocery,NA,Forced Labour & Modern Slavery|Labour Rights|Migrants & Immigrants|Violence
Adecco Group,Financial services,CH,AU,2018-10-06,Yes,0,NA,Recruitment agencies,Australia: Amazon staff in Melbourne warehouse claim unsustainable work targets; harsh working conditions,Labour Rights
Aviva,Financial services,GB,IL,2018-09-24,Yes,0,NA,Finance & banking|Military/weapons/security equipment: General,NGO: British financial institutions complicit in Israeli war crimes,Humanitarian Law|Security Issues & Conflict Zones
BAE Systems,Other,GB,IL,2018-09-24,Yes,0,NA,Arms/Weapons|Military/weapons/security equipment: General,NGO: British financial institutions complicit in Israeli war crimes,Security Issues & Conflict Zones
Motorola Solutions,Information technology,US,IL,2018-10-01,Yes,0,NA,"Military/weapons/security equipment: General|Technology, telecom & electronics",NGO: British financial institutions complicit in Israeli war crimes,Security Issues & Conflict Zones
Hewlett Packard Enterprise,Information technology,US,IL,2018-09-24,Yes,0,NA,"Military/weapons/security equipment: General|Technology, telecom & electronics",NGO: British financial institutions complicit in Israeli war crimes,Security Issues & Conflict Zones
HSBC,Financial services,GB,IL,2018-10-08,No,0,NA,Arms/Weapons|Finance & banking|Military/defence,NGO: British financial institutions complicit in Israeli war crimes,Humanitarian Law|Security Issues & Conflict Zones
Barclays,Financial services,GB,IL,2018-10-08,No,0,NA,Arms/Weapons|Finance & banking|Military/defence,NGO: British financial institutions complicit in Israeli war crimes,Humanitarian Law|Security Issues & Conflict Zones
Investec,Financial services,ZA,IL,2018-10-08,No,0,NA,Arms/Weapons|Finance & banking|Military/defence,NGO: British financial institutions complicit in Israeli war crimes,Humanitarian Law|Security Issues & Conflict Zones
Prudential plc,Financial services,GB,IL,2018-10-08,No,0,NA,Arms/Weapons|Finance & banking|Military/defence,NGO: British financial institutions complicit in Israeli war crimes,Humanitarian Law|Security Issues & Conflict Zones
Schroders,Financial services,GB,IL,2018-10-08,No,0,NA,Arms/Weapons|Finance & banking|Military/defence,NGO: British financial institutions complicit in Israeli war crimes,Humanitarian Law|Security Issues & Conflict Zones
Standard Life,Financial services,GB,IL,2018-10-08,No,0,NA,Arms/Weapons|Finance & banking|Military/defence,NGO: British financial institutions complicit in Israeli war crimes,Humanitarian Law|Security Issues & Conflict Zones
Caterpillar,Heavy manufacturing,US,IL,2018-10-08,No,0,NA,Military/weapons/security equipment: General,NGO: British financial institutions complicit in Israeli war crimes,Humanitarian Law|Security Issues & Conflict Zones
Boeing,Infrastructure and utilities,US,IL,2018-10-08,No,0,NA,Aircraft/Airline|Arms/Weapons|Military/defence|Military/weapons/security equipment: General,NGO: British financial institutions complicit in Israeli war crimes,Humanitarian Law|Security Issues & Conflict Zones
Lockheed Martin,Other,US,IL,2018-10-08,No,0,NA,Aircraft/Airline|Arms/Weapons|Military/defence|Military/weapons/security equipment: General,NGO: British financial institutions complicit in Israeli war crimes,Security Issues & Conflict Zones
Northrop Grumman,Other,US,IL,2018-10-08,No,0,NA,Arms/Weapons|Military/defence|Military/weapons/security equipment: General,NGO: British financial institutions complicit in Israeli war crimes,Humanitarian Law|Security Issues & Conflict Zones
RTX (formerly Raytheon),Other,US,IL,2018-10-08,No,0,NA,Arms/Weapons|Military/defence|Military/weapons/security equipment: General,NGO: British financial institutions complicit in Israeli war crimes,Humanitarian Law|Security Issues & Conflict Zones
Rolls-Royce plc,Heavy manufacturing,GB,IL,2018-10-08,No,0,NA,Arms/Weapons|Military/defence|Military/weapons/security equipment: General,NGO: British financial institutions complicit in Israeli war crimes,Humanitarian Law|Security Issues & Conflict Zones
Cobham,Infrastructure and utilities,GB,IL,2018-10-08,No,0,NA,"Military/weapons/security equipment: General|Technology, telecom & electronics",NGO: British financial institutions complicit in Israeli war crimes,Humanitarian Law|Security Issues & Conflict Zones
General Dynamics,Infrastructure and utilities,US,IL,2018-10-08,No,0,NA,Military/defence|Military/weapons/security equipment: General,NGO: British financial institutions complicit in Israeli war crimes,Humanitarian Law|Security Issues & Conflict Zones
GKN (Melrose Industries),Heavy manufacturing,GB,IL,2018-10-08,No,0,NA,Aircraft/Airline|Military/defence|Military/weapons/security equipment: General,NGO: British financial institutions complicit in Israeli war crimes,Humanitarian Law|Security Issues & Conflict Zones
Meggitt,Infrastructure and utilities,GB,IL,2018-10-08,No,0,NA,Aircraft/Airline|Military/defence|Military/weapons/security equipment: General,NGO: British financial institutions complicit in Israeli war crimes,Humanitarian Law|Security Issues & Conflict Zones
QinetiQ,Other,GB,IL,2018-10-08,No,0,NA,"Military/defence|Military/weapons/security equipment: General|Technology, telecom & electronics",NGO: British financial institutions complicit in Israeli war crimes,Humanitarian Law|Security Issues & Conflict Zones
Ultra Electronics,Other,GB,IL,2018-10-08,No,0,NA,Military/defence|Military/weapons/security equipment: General,NGO: British financial institutions complicit in Israeli war crimes,Humanitarian Law|Security Issues & Conflict Zones
United Technologies,Other,US,IL,2018-10-08,No,0,NA,Aircraft/Airline|Military/defence|Military/weapons/security equipment: General|Technology: General,NGO: British financial institutions complicit in Israeli war crimes,Security Issues & Conflict Zones
TotalEnergies (formerly Total),Extractive,FR,UG,2018-10-08,Yes,0,NA,"Oil, gas & coal",Uganda: Locals impacted by oil exploration activities in Nwoya area allegedly not adequately compensated; Total responds,Adequate Living Standards|Housing
Volvo Group,Heavy manufacturing,SE,MM,2018-10-08,Yes,0,NA,Construction machinery & vehicles|Mining,Myanmar: Swedwatch raises concerns that machinery companies may be aggravating abuses in jade mines,Impact Assessment
EPM (Empresas Públicas de Medellín),Infrastructure and utilities,CO,CO,2018-10-08,Yes,0,NA,Energy|Hydropower & dam projects,Colombia: Movimiento Ríos Vivos denuncia el asesinato de dos familiares de líderes opositores a la represa de Hidroituango,Killings
Caterpillar,Heavy manufacturing,US,MM,2018-10-08,No,0,NA,Construction machinery & vehicles|Mining,Myanmar: Swedwatch raises concerns that machinery companies may be aggravating abuses in jade mines,Impact Assessment
EPM (Empresas Públicas de Medellín),Infrastructure and utilities,CO,CO,2018-10-08,Yes,0,NA,Hydropower & dam projects|Renewable energy,Colombia: Two relatives of environmental defenders opposed to Hidroituango dam killed,Just transition|Killings
Komatsu,Heavy manufacturing,JP,MM,2018-10-08,No,0,NA,Construction machinery & vehicles|Mining,Myanmar: Swedwatch raises concerns that machinery companies may be aggravating abuses in jade mines,Impact Assessment
Legal & General Investment Management,Financial services,GB,IL,2018-10-09,Yes,0,NA,Arms/Weapons|Finance & banking|Military/defence|Military/weapons/security equipment: General,NGO: British financial institutions complicit in Israeli war crimes,Security Issues & Conflict Zones|UN Guiding Principles on Business & Human Rights (UNGPs)
Organización Ardila Lülle|Postobón (part of Organización Ardila Lülle),Other,CO,CO,2018-10-09,Yes,0,NA,Food & beverage,NA,Children|Consumers|Lawsuits & regulatory action|Personal Health
Cementos Progreso,Heavy manufacturing,GT,GT,2018-10-12,Yes,0,NA,Cement|Road-building,Guatemala: Comunidad protesta en contra de Cementos Progreso por supuesta usurpación de caminos e impedir el libre tránsito,Indigenous Peoples
Legal & General Investment Management,Financial services,GB,CD,2018-10-09,Yes,0,NA,NA,Global Witness report alleges EU investors help bankroll human rights & environmental abuses; incl. co responses,"Clean, Healthy & Sustainable Environment|Security Issues & Conflict Zones|Violence"
Schroders,Financial services,GB,CD,2018-10-11,Yes,0,NA,NA,Global Witness report alleges EU investors help bankroll human rights & environmental abuses; incl. co responses,"Clean, Healthy & Sustainable Environment|Security Issues & Conflict Zones|Violence"
Silchester,Financial services,GB,LR,2018-09-28,No,0,NA,NA,Global Witness report alleges EU investors help bankroll human rights & environmental abuses; incl. co responses,Land Rights|Violence
Aberforth Partners,Financial services,GB,CD,2018-10-01,No,0,NA,NA,Global Witness report alleges EU investors help bankroll human rights & environmental abuses; incl. co responses,"Clean, Healthy & Sustainable Environment|Security Issues & Conflict Zones|Violence"
LafargeHolcim|Lafarge (part of LafargeHolcim),Heavy manufacturing,CH,FR|SY,2018-10-16,Yes,0,NA,Construction,NA,Complicity|Lawsuits & regulatory action|Security Issues & Conflict Zones
Tungkum,Extractive,TH,TH,2018-10-17,No,0,NA,Mining,Thailand: Report highlights community struggle against gold mine & reprisals against environmental defenders; Tungkum Ltd. did not respond,Violence
China Petroleum & Chemical (Sinopec)|Mansarovar Energy (Joint venture Oil & Natural Gas Corp. and Sinopec)|ONGC (Oil & Natural Gas Corporation),Extractive,CN,CO,2018-10-16,Yes,0,NA,"Mining|Oil, gas & coal",Colombia: La Corte Constitucional decide a favor de petrolera china Mansarovar Energy en acción de tutela que deja sin piso las consultas populares,"Access to Water|Clean, Healthy & Sustainable Environment|Free, prior & informed consent|Lawsuits & regulatory action"
EDF,Infrastructure and utilities,FR,SA,2018-10-23,Yes,0,NA,NA,Major news organisations and business leaders withdraw from Saudi investment conference over missing journalist,Disappearances
Credit Suisse,Financial services,CH,SA,2018-10-23,Yes,0,NA,NA,Major news organisations and business leaders withdraw from Saudi investment conference over missing journalist,Disappearances|Human Rights Defenders
Siemens,Information technology,DE,SA,2018-10-23,Yes,1,NA,NA,Major news organisations and business leaders withdraw from Saudi investment conference over missing journalist,Disappearances|Human Rights Defenders
HSBC,Financial services,GB,SA,2018-10-23,No,0,NA,NA,Major news organisations and business leaders withdraw from Saudi investment conference over missing journalist,Disappearances|Human Rights Defenders
Accor,Other,FR,SA,2018-10-23,No,0,NA,NA,Major news organisations and business leaders withdraw from Saudi investment conference over missing journalist,Disappearances|Human Rights Defenders
PricewaterhouseCoopers,Financial services,GB,SA,2018-10-23,No,0,NA,NA,Major news organisations and business leaders withdraw from Saudi investment conference over missing journalist,Disappearances|Human Rights Defenders
Thales,Infrastructure and utilities,FR,SA,2018-10-23,No,0,NA,NA,Major news organisations and business leaders withdraw from Saudi investment conference over missing journalist,Disappearances|Human Rights Defenders
Softbank,Information technology,JP,SA,2018-10-23,No,0,NA,NA,Major news organisations and business leaders withdraw from Saudi investment conference over missing journalist,Disappearances|Human Rights Defenders
EY (Ernst & Young),Financial services,GB,SA,2018-10-23,No,0,NA,NA,Major news organisations and business leaders withdraw from Saudi investment conference over missing journalist,Disappearances|Human Rights Defenders
McKinsey,Financial services,US,SA,2018-10-23,No,0,NA,NA,Major news organisations and business leaders withdraw from Saudi investment conference over missing journalist,Disappearances|Human Rights Defenders
Deutsche Bank,Financial services,DE,SA,2018-10-23,No,1,NA,NA,Major news organisations and business leaders withdraw from Saudi investment conference over missing journalist,Disappearances|Human Rights Defenders
Morgan Stanley,Financial services,US,SA,2018-10-23,No,0,NA,NA,Major news organisations and business leaders withdraw from Saudi investment conference over missing journalist,Disappearances|Human Rights Defenders
Bank of America,Financial services,US,SA,2018-10-23,No,0,NA,NA,Major news organisations and business leaders withdraw from Saudi investment conference over missing journalist,Disappearances|Human Rights Defenders
JPMorgan Chase,Financial services,US,SA,2018-10-23,No,0,NA,NA,Major news organisations and business leaders withdraw from Saudi investment conference over missing journalist,Disappearances|Human Rights Defenders
Société Générale,Financial services,FR,SA,2018-10-23,No,0,NA,NA,Major news organisations and business leaders withdraw from Saudi investment conference over missing journalist,Disappearances|Human Rights Defenders
Grupo Sacyr Vallehermoso,Heavy manufacturing,ES,ES,2018-10-23,Yes,0,NA,Finance & banking|Mining|Stock exchanges,NA,"Clean, Healthy & Sustainable Environment|Land Rights"
Arab Bank,Financial services,IL,US,2018-10-25,Yes,0,NA,Finance & banking,Arab Bank lawsuit (re terrorist attacks in Israel),Alien Tort Claims Act (USA)|Complicity|Corporate Legal Accountability|Deaths|Lawsuits & regulatory action
Microsoft,Information technology,US,US,2018-10-26,Yes,0,NA,Military/defence|Technology: General,USA: Employees urge tech companies to withdraw bids for $10 million contract with Department of Defense,Security Issues & Conflict Zones|Surveillance
Arcor,Food and beverage,AR,AR,2018-10-30,Yes,0,NA,Food & beverage,Argentina: Organizaciones de la sociedad civil denuncian la campaña de Arcor “tu porción justa” porque consideran que “son engañosos y riesgosos” para la salud infantil,Children|Personal Health
Altice Group,Information technology,NL,IL,2018-11-05,No,0,NA,"Technology, telecom & electronics",NA,Security Issues & Conflict Zones
Bezeq,Information technology,IL,IL,2018-11-05,No,0,NA,"Technology, telecom & electronics",NA,Security Issues & Conflict Zones
Cellcom Israel,Information technology,IL,IL,2018-11-05,No,0,NA,"Technology, telecom & electronics",NA,Security Issues & Conflict Zones
TC Energy (formerly Transcanada),Extractive,CA,MX,2018-11-05,Yes,0,NA,"Oil, gas & coal",NA,"Clean, Healthy & Sustainable Environment|Displacement|Free, prior & informed consent|Indigenous Peoples|Lawsuits & regulatory action|Ownership of Property & Possessions|Right to Food"
Shell plc,Extractive,GB,NG,2018-11-05,Yes,0,NA,NA,"Nigeria: Union alleges exploitation of contract workers at Shell including anti-union activity, poverty wages, poor health & safety",Freedom of Association|Labour Rights|Living Wage|Personal Health
Arch Coal,Extractive,US,US,2018-11-06,No,0,NA,NA,Climate Accountability Scorecard: Assessment finds 8 major fossil fuel companies fail to adequately plan for low-carbon world,Climate Crisis
Chevron,Extractive,US,US,2018-11-06,No,0,NA,NA,Climate Accountability Scorecard: Assessment finds 8 major fossil fuel companies fail to adequately plan for low-carbon world,Climate Crisis
ConocoPhillips,Extractive,US,US,2018-11-06,No,0,NA,NA,Climate Accountability Scorecard: Assessment finds 8 major fossil fuel companies fail to adequately plan for low-carbon world,Climate Crisis
ExxonMobil,Extractive,US,US,2018-11-06,No,0,NA,NA,Climate Accountability Scorecard: Assessment finds 8 major fossil fuel companies fail to adequately plan for low-carbon world,Climate Crisis
Shell plc,Extractive,GB,NL,2018-11-06,Yes,0,NA,NA,Climate Accountability Scorecard: Assessment finds 8 major fossil fuel companies fail to adequately plan for low-carbon world,Climate Crisis
Peabody Energy,Extractive,US,US,2018-11-06,Yes,0,NA,NA,Climate Accountability Scorecard: Assessment finds 8 major fossil fuel companies fail to adequately plan for low-carbon world,Climate Crisis
Consol Energy,Extractive,US,US,2018-11-06,Yes,0,NA,NA,Climate Accountability Scorecard: Assessment finds 8 major fossil fuel companies fail to adequately plan for low-carbon world,Climate Crisis
bp,Extractive,GB,GB,2018-11-06,Yes,0,NA,NA,Climate Accountability Scorecard: Assessment finds 8 major fossil fuel companies fail to adequately plan for low-carbon world,Climate Crisis
Bayer|Bayer CropScience (part of Bayer)|Makhteshim Chemical Works,Pharmaceutical and chemical,DE,AR,2018-11-06,Yes,1,NA,Agriculture & livestock|Pesticide,NA,"Children|Clean, Healthy & Sustainable Environment|Deaths|Injuries|Lawsuits & regulatory action"
Nestlé,Food and beverage,CH,CH,2018-11-07,Yes,0,NA,Food & beverage,Canada: Nestlé allegedly extracting water from indigenous land without consent while local residents lack drinking water,Access to Water|Indigenous Peoples
Acacia (formerly African Barrick Gold),Extractive,GB,TZ,2018-11-09,Yes,0,NA,Mining,"Tanzania: NGO urges Barrick Gold to address alleged human rights issues at subsidiary's mine ahead of proposed merger  with Randgold, company responds",Violence
Celulosa Arauco y Constitución (CELCO)|Empresas CMPC,Extractive,CL,CL,2018-11-09,Yes,0,NA,Logging & lumber|Paper & cardboard,NA,"Access to Water|Clean, Healthy & Sustainable Environment|Labour Rights|Lawsuits & regulatory action|Right to Food"
Altice Group,Information technology,NL,IL,2018-11-12,No,0,NA,"Technology, telecom & electronics",NGO accuses telecommunication companies of being complicit in the Israeli occupation,Security Issues & Conflict Zones
Bezeq,Information technology,IL,IL,2018-11-12,No,0,NA,"Technology, telecom & electronics",NGO accuses telecommunication companies of being complicit in the Israeli occupation,Security Issues & Conflict Zones
Cellcom Israel,Information technology,IL,IL,2018-11-12,No,0,NA,"Technology, telecom & electronics",NGO accuses telecommunication companies of being complicit in the Israeli occupation,Security Issues & Conflict Zones
